取引No,会計日,会計時間,合計,小計,内消費税,現金,Pontaポイント(Airウォレット),クレジットカード(Airペイ),電子マネー(Airペイ),ポイント(POICHI for Airレジ),クレジットカード(Square),モバイル決済(モバイル決済 for Airレジ),金券合計,売掛合計,おつり,現金以外おつり不支払額,割引/割増,人数,商品点数,滞在時間,テーブルID,レジID,レジ担当者名,カテゴリ名,メニュー名,種別１,種別２,価格,注文数量,割引/割増数量,割引割増単価,単位,割引/割増合計額,ID
RB0820170104171322000,2017/01/04,18:30:51,8700,8190,644,10000,0,0,0,0,0,0,0,0,1300,0,-6,2,16,01:17:28,未設定,0009,"堀田 恵美","ビール","中生","","",520,3,0,0,-,0,74528635C45A470F8E935E5AA6DDF326
RB0820170104171322000,,,,,,,,,,,,,,,,,,,,,,,,"ビール","小生","","",470,1,0,0,-,0,74528635C45A470F8E935E5AA6DDF326
RB0820170104171322000,,,,,,,,,,,,,,,,,,,,,,,,"日本酒","燗酒(1合)","","",460,2,0,0,-,0,74528635C45A470F8E935E5AA6DDF326
RB0820170104171322000,,,,,,,,,,,,,,,,,,,,,,,,"一品料理","お通し","","",400,2,0,0,-,0,74528635C45A470F8E935E5AA6DDF326
RB0820170104171322000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり140","","",140,1,0,0,-,0,74528635C45A470F8E935E5AA6DDF326
RB0820170104171322000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり260","","",260,2,0,0,-,0,74528635C45A470F8E935E5AA6DDF326
RB0820170104171322000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり360","","",360,3,0,0,-,0,74528635C45A470F8E935E5AA6DDF326
RB0820170104171322000,,,,,,,,,,,,,,,,,,,,,,,,"お造り","本日の刺盛り","","",1800,1,0,0,-,0,74528635C45A470F8E935E5AA6DDF326
RB0820170104171322000,,,,,,,,,,,,,,,,,,,,,,,,"季節メニュー","白子ぽん酢","","",900,1,0,0,-,0,74528635C45A470F8E935E5AA6DDF326
RB0820170104183218000,2017/01/04,19:21:35,8330,7780,617,0,0,0,0,0,0,0,0,8330,0,0,-6,2,14,00:49:16,未設定,0009,"堀田 恵美","一品料理","ばくだん納豆","","",950,1,0,0,-,0,1EF2838E5B1E4B918DB0333627AB47EE
